prior,time.period,reforest.area,afforest.area,total.area,x
agriculture,2000-2010,7130883.9,916621.1,8047505,a
agriculture,2011-2013,709383,711077,1420460,a
agriculture,2014-2019,93780,0,93780,a
agriculture,2000-2019,7934047,1627698,9561745,b
cropland,2000-2010,1797066,4143,1801209,a
cropland,2011-2013,0,382,382,a
cropland,2014-2019,0,0,0,a
cropland,2000-2019,1797066,4525,1801591,b
pasture,2000-2010,1049053,1804,1050857,a
pasture,2011-2013,704112.8,0,704112.8,a
pasture,2014-2019,162932,0,162932,a
pasture,2000-2019,1916098,1804,1917902,b
agro-silvo-pastoral,2000-2010,83493,0,83493,a
agro-silvo-pastoral,2011-2013,478,0,478,a
agro-silvo-pastoral,2014-2019,50024,0,50024,a
agro-silvo-pastoral,2000-2019,133995,0,133995,b
shifting cultivation/fallow,2000-2010,98616.9,0,98616.9,a
shifting cultivation/fallow,2011-2013,0,0,0,a
shifting cultivation/fallow,2014-2019,0,0,0,a
shifting cultivation/fallow,2000-2019,98616.9,0,98616.9,b
aquaculture,2000-2010,84028.15,0,84028.15,a
aquaculture,2011-2013,1110,0,1110,a
aquaculture,2014-2019,0,0,0,a
aquaculture,2000-2019,85138.15,0,85138.15,b
tree monocrop,2000-2010,41591.6,164.5,41756.1,a
tree monocrop,2011-2013,302.3,0,302.3,a
tree monocrop,2014-2019,82650.5,0,82650.5,a
tree monocrop,2000-2019,124708.9,0,124708.9,b
clearcut,2000-2010,9818747,645000,10463747,a
clearcut,2011-2013,6200,0,6200,a
clearcut,2014-2019,111436,0,111436,a
clearcut,2000-2019,9936383,645000,10581383,b
degraded,2000-2010,288286.4,666018,954304.4,a
degraded,2011-2013,6160,0,6160,a
degraded,2014-2019,88300,0,88300,a
degraded,2000-2019,382746,666018,1048764,b
extraction,2000-2010,15374,0,15374,a
extraction,2011-2013,0,0,0,a
extraction,2014-2019,78249,0,78249,a
extraction,2000-2019,93623,0,93623,b
fire,2000-2010,6945,0,6945,a
fire,2011-2013,0,0,0,a
fire,2014-2019,10231.2,0,10231.2,a
fire,2000-2019,17176.2,0,17176.2,b
non-fire disturbance,2000-2010,4026215,0,4026215,a
non-fire disturbance,2011-2013,40,0,40,a
non-fire disturbance,2014-2019,15821.2,0,15821.2,a
non-fire disturbance,2000-2019,4042076,0,4042076,b
marginal,2000-2010,4153619,5116488,9270107,a
marginal,2011-2013,0,0,0,a
marginal,2014-2019,14169,0,14169,a
marginal,2000-2019,4167788,5116488,9284276,b
other,2000-2010,5056382.5,49823.5,5106206,a
other,2011-2013,1628.9,382,2010.9,a
other,2014-2019,27527.2,0,27527.2,a
other,2000-2019,5085538.5,50205.5,5135744,b
unknown,2000-2010,89079.4,0,89079.4,a
unknown,2011-2013,1482492,0,1482492,a
unknown,2014-2019,42700,0,42700,a
unknown,2000-2019,1614271,0,1614271,b
