region.code,total_area,time.period,x
EA,9517780.11,2000-2010,a
EU,1325026.692,2000-2010,a
LATAM,9724351.593,2000-2010,a
NA,370187.3,2000-2010,a
OC,4652.7,2000-2010,a
SA,134657.8947,2000-2010,a
SEA,2477788,2000-2010,a
SSA,36353,2000-2010,a
EA,1110,2011-2013,a
EU,0,2011-2013,a
LATAM,755246.95,2011-2013,a
NA,1427000,2011-2013,a
OC,0,2011-2013,a
SA,11290,2011-2013,a
SEA,0,2011-2013,a
SSA,709010,2011-2013,a
LATAM,235647.72,2014-2019,a
EA,0,2014-2019,a
EU,0,2014-2019,a
LATAM,235647.72,2014-2019,a
NA,0,2014-2019,a
OC,0,2014-2019,a
SA,0,2014-2019,a
SEA,0,2014-2019,a
SSA,0,2014-2019,a
EA,9518890.11,2000-2019,b
EU,1325026.692,2000-2019,b
LATAM,10715309.26,2000-2019,b
NA,1797187.3,2000-2019,b
OC,4652.7,2000-2019,b
SA,145947.8947,2000-2019,b
SEA,2481430,2000-2019,b
SSA,745363,2000-2019,b
